school_id,school_name,latitude,longitude,category,total_students,age_15_cohort,female_students,male_students,saturation_rate,female_saturation,male_saturation,gender_parity_index,equity_risk,backlog_students,access_risk_score,zone_label,priority_score,status
SCH-10026,"Govt Primary School, Nelamangala Block-2",13.117173,77.649964,urban,536,49,280,256,0.454,0.808,0.798,1.013,False,27,9.3,Accessible,0.241,CRITICAL
SCH-10027,"Govt High School, Ramanagara Block-5",13.252522,77.71126,urban,405,37,198,207,0.904,0.572,0.886,0.646,True,4,12.7,Accessible,0.217,NORMAL
SCH-10028,"Govt Primary School, Ramanagara Block-1",13.023707,77.433652,rural,142,12,64,78,0.574,0.55,0.738,0.746,True,6,43.6,Accessible,0.368,NORMAL
SCH-10029,"Govt High School, Ramanagara Block-7",13.117212,77.492397,urban,145,12,72,73,0.775,0.771,0.797,0.968,False,3,26.7,Accessible,0.124,NORMAL
SCH-10030,"Zilla Parishad School, Ramanagara Block-9",13.115633,77.638206,urban,765,61,363,402,0.674,0.611,0.437,1.397,False,20,7.8,Accessible,0.165,CRITICAL
SCH-10031,"Govt High School, Nelamangala Block-9",13.295264,77.587437,urban,679,59,349,330,0.498,0.97,0.945,1.026,False,30,22.6,Accessible,0.277,CRITICAL
SCH-10032,"Govt Primary School, Ramanagara Block-8",12.968613,77.390713,rural,681,57,317,364,0.75,0.484,0.664,0.729,True,15,51.2,Moderate Access,0.388,NORMAL
SCH-10033,"Model Govt School, Nelamangala Block-3",13.211448,77.678345,urban,293,26,148,145,0.89,0.992,0.417,2.0,False,3,6.7,Accessible,0.051,NORMAL
SCH-10034,"Zilla Parishad School, Devanahalli Block-2",12.875912,77.484642,rural,109,9,55,54,0.766,0.784,0.581,1.35,False,3,33.1,Accessible,0.141,NORMAL
SCH-10035,"Model Govt School, Ramanagara Block-3",12.940617,77.376599,rural,395,37,179,216,0.608,0.525,0.522,1.007,False,15,53.7,Moderate Access,0.273,NORMAL
SCH-10036,"Model Govt School, Ramanagara Block-7",13.162051,77.565912,urban,674,60,318,356,0.584,0.593,0.715,0.828,True,25,9.3,Accessible,0.357,CRITICAL
SCH-10037,"Model Govt School, Doddaballapur Block-5",13.136575,77.749077,urban,540,46,256,284,0.796,0.874,0.684,1.278,False,10,16.3,Accessible,0.122,NORMAL
SCH-10038,"Zilla Parishad School, Nelamangala Block-8",13.263399,77.73363,urban,649,54,319,330,0.946,0.78,0.743,1.05,False,3,16.2,Accessible,0.064,NORMAL
SCH-10039,"Govt High School, Doddaballapur Block-2",13.27022,77.714274,urban,712,70,380,332,0.577,0.787,0.9,0.875,True,30,16.7,Accessible,0.396,CRITICAL
SCH-10040,"Zilla Parishad School, Devanahalli Block-7",13.309227,77.584827,urban,278,23,141,137,0.888,0.925,0.797,1.16,False,3,25.7,Accessible,0.099,NORMAL
SCH-10041,"Govt Primary School, Hoskote Block-3",13.063394,77.669913,urban,417,35,195,222,0.813,0.481,0.979,0.491,True,7,10.6,Accessible,0.242,NORMAL
SCH-10042,"Zilla Parishad School, Ramanagara Block-8",13.172,77.513494,urban,186,18,99,87,0.551,0.917,0.788,1.163,False,9,17.8,Accessible,0.17,NORMAL
SCH-10043,"Zilla Parishad School, Magadi Block-4",13.253425,77.73506,urban,599,55,281,318,0.824,0.913,0.515,1.774,False,10,14.4,Accessible,0.111,NORMAL
SCH-10044,"Govt High School, Magadi Block-2",13.162074,77.513765,urban,325,31,153,172,0.878,0.907,0.399,2.0,False,4,18.8,Accessible,0.087,NORMAL
SCH-10045,"Govt Primary School, Doddaballapur Block-1",12.986154,77.357356,rural,245,22,130,115,0.56,0.534,0.768,0.695,True,10,59.0,Moderate Access,0.425,NORMAL
SCH-10046,"Model Govt School, Devanahalli Block-4",13.059385,77.503255,urban,733,64,355,378,0.782,0.816,0.638,1.278,False,14,27.0,Accessible,0.167,NORMAL
SCH-10047,"Model Govt School, Hoskote Block-6",13.119921,77.414806,urban,343,27,171,172,0.364,0.799,0.63,1.269,False,18,26.9,Accessible,0.266,NORMAL
SCH-10048,"Model Govt School, Doddaballapur Block-7",13.145115,77.49439,urban,143,13,78,65,0.652,0.747,0.709,1.053,False,5,20.9,Accessible,0.142,NORMAL
SCH-10049,"Zilla Parishad School, Magadi Block-2",13.349677,77.572323,urban,185,18,83,102,0.44,0.628,0.866,0.726,True,11,35.0,Accessible,0.393,NORMAL
SCH-10050,"Govt High School, Magadi Block-1",13.292499,77.562106,urban,282,24,143,139,0.547,0.761,0.637,1.195,False,11,23.0,Accessible,0.192,NORMAL
SCH-10051,"Govt Primary School, Ramanagara Block-9",13.050965,77.54195,urban,796,72,379,417,0.762,0.671,0.62,1.082,False,18,19.4,Accessible,0.168,NORMAL
SCH-10052,"Zilla Parishad School, Doddaballapur Block-9",12.904734,77.506652,rural,239,23,126,113,0.694,0.642,0.551,1.166,False,8,26.4,Accessible,0.159,NORMAL
SCH-10053,"Govt Primary School, Devanahalli Block-4",12.960243,77.424575,rural,358,34,189,169,0.57,0.458,0.495,0.925,False,15,43.7,Accessible,0.255,NORMAL
SCH-10054,"Model Govt School, Nelamangala Block-5",13.140043,77.386595,urban,716,62,341,375,0.681,0.805,0.699,1.152,False,20,26.0,Accessible,0.209,CRITICAL
SCH-10055,"Zilla Parishad School, Hoskote Block-6",13.345738,77.374607,rural,400,35,203,197,0.442,0.705,0.624,1.129,False,20,31.1,Accessible,0.27,CRITICAL
SCH-10056,"Model Govt School, Nelamangala Block-3",12.944611,77.702655,rural,656,63,297,359,0.594,0.697,0.635,1.098,False,26,17.1,Accessible,0.228,CRITICAL
SCH-10057,"Govt High School, Hoskote Block-2",12.914224,77.463337,rural,554,50,302,252,0.807,0.588,0.573,1.027,False,10,35.2,Accessible,0.167,NORMAL
SCH-10058,"Govt Primary School, Nelamangala Block-4",13.285768,77.739396,urban,384,34,197,187,0.31,0.869,0.893,0.973,False,24,21.3,Accessible,0.287,CRITICAL
SCH-10059,"Govt Primary School, Magadi Block-2",13.269974,77.659129,urban,183,17,87,96,0.801,0.693,0.658,1.053,False,4,19.2,Accessible,0.104,NORMAL
SCH-10060,"Govt Primary School, Nelamangala Block-2",13.282179,77.539284,urban,683,56,321,362,0.79,0.463,0.894,0.517,True,12,20.4,Accessible,0.291,NORMAL
SCH-10061,"Model Govt School, Magadi Block-1",13.24878,77.474145,urban,171,15,88,83,0.497,0.669,0.84,0.796,True,8,4.7,Accessible,0.294,NORMAL
SCH-10062,"Zilla Parishad School, Ramanagara Block-9",13.129824,77.353908,rural,101,9,54,47,0.687,0.627,0.484,1.297,False,3,32.4,Accessible,0.156,NORMAL
SCH-10063,"Govt High School, Hoskote Block-2",13.318106,77.370789,rural,515,44,279,236,0.476,0.589,0.774,0.761,True,24,27.0,Accessible,0.418,CRITICAL
SCH-10064,"Govt Primary School, Ramanagara Block-1",12.880176,77.448841,rural,636,61,300,336,0.744,0.24,0.75,0.32,True,16,40.0,Accessible,0.365,NORMAL
SCH-10065,"Zilla Parishad School, Doddaballapur Block-3",13.270226,77.419677,urban,258,22,137,121,0.661,0.457,0.557,0.821,True,8,12.0,Accessible,0.28,NORMAL
SCH-10066,"Govt Primary School, Ramanagara Block-8",13.146175,77.714945,urban,367,32,182,185,0.764,0.881,0.848,1.04,False,8,11.3,Accessible,0.107,NORMAL
SCH-10067,"Govt High School, Devanahalli Block-1",13.139707,77.615049,urban,244,21,133,111,0.869,0.826,0.766,1.079,False,3,12.9,Accessible,0.07,NORMAL
SCH-10068,"Govt Primary School, Nelamangala Block-4",13.074717,77.585154,urban,612,52,297,315,0.882,0.873,0.899,0.971,False,7,8.9,Accessible,0.074,NORMAL
SCH-10069,"Model Govt School, Ramanagara Block-4",12.875848,77.606001,rural,134,11,72,62,0.701,0.609,0.827,0.737,True,4,13.8,Accessible,0.26,NORMAL
SCH-10070,"Govt Primary School, Ramanagara Block-4",13.20234,77.430741,urban,474,39,222,252,0.926,0.695,0.677,1.026,False,3,9.2,Accessible,0.05,NORMAL
SCH-10071,"Govt Primary School, Hoskote Block-1",13.188257,77.43627,urban,753,66,387,366,0.637,0.623,0.616,1.012,False,24,11.1,Accessible,0.196,CRITICAL
SCH-10072,"Govt Primary School, Hoskote Block-5",12.910105,77.567796,rural,700,60,359,341,0.825,0.833,0.685,1.217,False,11,13.5,Accessible,0.113,NORMAL
SCH-10073,"Model Govt School, Nelamangala Block-9",13.281667,77.557633,urban,553,54,293,260,0.606,0.431,0.253,1.706,False,22,21.1,Accessible,0.219,CRITICAL
SCH-10074,"Govt Primary School, Ramanagara Block-7",13.177347,77.50203,urban,423,41,205,218,0.942,0.7,0.924,0.758,True,3,15.4,Accessible,0.212,NORMAL
SCH-10075,"Govt High School, Doddaballapur Block-9",13.190559,77.422575,urban,258,24,118,140,0.625,0.657,0.789,0.832,True,9,12.4,Accessible,0.292,NORMAL
SCH-10076,"Govt Primary School, Ramanagara Block-5",13.269931,77.710009,urban,148,12,78,70,0.81,0.908,0.807,1.124,False,3,16.5,Accessible,0.091,NORMAL
SCH-10077,"Model Govt School, Nelamangala Block-4",13.170986,77.592838,urban,259,24,123,136,0.677,0.292,0.633,0.461,True,8,5.1,Accessible,0.259,NORMAL
SCH-10078,"Govt High School, Doddaballapur Block-7",12.892829,77.707676,rural,172,14,81,91,0.697,0.524,0.778,0.674,True,5,20.3,Accessible,0.282,NORMAL
SCH-10079,"Zilla Parishad School, Magadi Block-3",13.039238,77.495178,urban,453,40,218,235,0.58,0.622,0.712,0.874,True,17,29.8,Accessible,0.377,NORMAL
SCH-10080,"Govt Primary School, Doddaballapur Block-9",12.926208,77.746993,rural,347,31,185,162,0.734,0.58,0.77,0.754,True,9,26.6,Accessible,0.306,NORMAL
SCH-10081,"Govt High School, Ramanagara Block-3",13.126901,77.47221,urban,279,23,151,128,0.564,0.68,0.201,2.0,False,11,23.7,Accessible,0.19,NORMAL
SCH-10082,"Govt High School, Devanahalli Block-5",13.245015,77.471872,urban,172,14,77,95,0.728,0.611,0.648,0.943,False,4,3.8,Accessible,0.08,NORMAL
SCH-10083,"Govt Primary School, Hoskote Block-2",12.910881,77.541294,rural,636,53,291,345,0.661,0.431,0.785,0.549,True,18,18.8,Accessible,0.337,NORMAL
SCH-10084,"Model Govt School, Ramanagara Block-7",13.0799,77.373266,rural,789,64,409,380,0.752,0.55,0.768,0.716,True,16,38.8,Accessible,0.361,NORMAL
SCH-10085,"Govt Primary School, Devanahalli Block-5",13.212159,77.666837,urban,673,62,326,347,0.935,0.813,0.432,1.883,False,5,9.0,Accessible,0.055,NORMAL
SCH-10086,"Model Govt School, Nelamangala Block-6",13.267152,77.60172,urban,792,76,432,360,0.783,0.637,0.668,0.953,False,17,16.4,Accessible,0.152,NORMAL
SCH-10087,"Model Govt School, Nelamangala Block-3",13.046197,77.732489,urban,724,71,382,342,0.904,0.61,0.467,1.307,False,7,24.6,Accessible,0.109,NORMAL
SCH-10088,"Govt Primary School, Nelamangala Block-6",12.902847,77.74531,rural,186,17,84,102,0.746,0.779,0.693,1.124,False,5,27.2,Accessible,0.139,NORMAL
SCH-10089,"Zilla Parishad School, Doddaballapur Block-6",13.232186,77.456019,urban,649,52,325,324,0.864,0.819,0.773,1.06,False,8,0.8,Accessible,0.061,NORMAL
SCH-10090,"Govt Primary School, Nelamangala Block-3",13.093008,77.718119,urban,387,35,180,207,0.761,0.954,0.784,1.216,False,9,20.2,Accessible,0.134,NORMAL
SCH-10091,"Zilla Parishad School, Hoskote Block-7",13.185727,77.476769,urban,138,13,74,64,0.811,0.772,0.775,0.997,False,3,11.1,Accessible,0.078,NORMAL
SCH-10092,"Model Govt School, Doddaballapur Block-2",13.270352,77.643121,urban,782,74,410,372,0.643,0.61,0.668,0.913,False,27,20.0,Accessible,0.23,CRITICAL
SCH-10093,"Model Govt School, Ramanagara Block-3",12.952018,77.572034,rural,401,37,187,214,0.636,0.811,0.65,1.248,False,14,12.0,Accessible,0.159,NORMAL
SCH-10094,"Zilla Parishad School, Magadi Block-3",12.918911,77.615217,rural,504,40,235,269,0.662,0.547,0.651,0.84,True,14,4.1,Accessible,0.284,NORMAL
SCH-10095,"Govt Primary School, Devanahalli Block-6",13.099128,77.380823,rural,505,47,264,241,0.489,0.534,0.468,1.141,False,25,34.3,Accessible,0.288,CRITICAL
SCH-10096,"Govt Primary School, Nelamangala Block-4",13.168089,77.664261,urban,498,43,265,233,0.556,0.827,0.613,1.35,False,20,10.8,Accessible,0.196,CRITICAL
SCH-10097,"Govt High School, Magadi Block-9",13.251322,77.533275,urban,360,33,184,176,0.599,0.798,0.821,0.973,False,14,16.5,Accessible,0.177,NORMAL
SCH-10098,"Govt High School, Devanahalli Block-5",13.093786,77.363445,rural,695,64,351,344,0.269,0.511,0.611,0.837,True,47,37.3,Accessible,0.577,CRITICAL
SCH-10099,"Govt Primary School, Devanahalli Block-2",13.340649,77.452612,urban,230,21,107,123,0.65,0.844,0.564,1.496,False,8,24.0,Accessible,0.162,NORMAL
SCH-10100,"Govt Primary School, Nelamangala Block-4",12.890863,77.53332,rural,676,59,313,363,0.401,0.719,0.683,1.053,False,36,22.1,Accessible,0.319,CRITICAL
SCH-10101,"Zilla Parishad School, Ramanagara Block-7",13.122424,77.65337,urban,313,25,144,169,0.807,0.604,0.948,0.637,True,5,10.7,Accessible,0.235,NORMAL
SCH-10102,"Model Govt School, Hoskote Block-3",13.17839,77.678841,urban,277,22,136,141,0.43,0.85,0.502,1.692,False,13,6.9,Accessible,0.183,NORMAL
SCH-10103,"Zilla Parishad School, Nelamangala Block-5",13.298593,77.417542,urban,585,48,275,310,0.453,0.88,0.678,1.299,False,27,17.2,Accessible,0.261,CRITICAL
SCH-10104,"Model Govt School, Magadi Block-9",13.212593,77.479204,urban,201,20,103,98,0.824,0.831,0.507,1.637,False,4,6.2,Accessible,0.067,NORMAL
SCH-10105,"Model Govt School, Ramanagara Block-1",13.085584,77.678655,urban,556,48,277,279,0.86,0.727,0.452,1.606,False,7,11.6,Accessible,0.085,NORMAL
SCH-10106,"Zilla Parishad School, Nelamangala Block-3",13.270724,77.538515,urban,388,32,200,188,0.779,0.668,0.669,0.998,False,8,19.0,Accessible,0.124,NORMAL
SCH-10107,"Zilla Parishad School, Magadi Block-1",13.231578,77.513323,urban,753,73,356,397,0.771,0.939,0.616,1.524,False,17,11.6,Accessible,0.143,NORMAL
SCH-10108,"Model Govt School, Devanahalli Block-9",12.871012,77.645962,rural,253,25,117,136,0.41,0.421,0.804,0.523,True,15,15.0,Accessible,0.366,NORMAL
SCH-10109,"Model Govt School, Ramanagara Block-3",12.856202,77.537507,rural,188,18,85,103,0.516,0.745,0.617,1.207,False,9,25.8,Accessible,0.197,NORMAL
SCH-10110,"Model Govt School, Ramanagara Block-9",12.983888,77.665664,urban,568,51,259,309,0.94,0.614,0.992,0.619,True,4,14.0,Accessible,0.213,NORMAL
SCH-10111,"Govt High School, Ramanagara Block-9",13.020408,77.41593,rural,505,46,259,246,0.768,0.705,0.654,1.077,False,11,47.4,Accessible,0.209,NORMAL
SCH-10112,"Zilla Parishad School, Ramanagara Block-9",12.851461,77.365906,rural,361,29,167,194,0.817,0.646,0.747,0.865,True,6,59.1,Moderate Access,0.358,NORMAL
SCH-10113,"Govt Primary School, Magadi Block-1",13.048508,77.384837,rural,652,62,328,324,0.516,0.694,0.769,0.903,False,31,44.1,Accessible,0.331,CRITICAL
SCH-10114,"Govt High School, Nelamangala Block-9",13.261895,77.732024,urban,349,32,187,162,0.607,0.623,0.582,1.069,False,13,15.8,Accessible,0.17,NORMAL
SCH-10115,"Zilla Parishad School, Devanahalli Block-7",13.173225,77.705216,urban,365,32,169,196,0.901,0.655,0.833,0.786,True,4,5.0,Accessible,0.198,NORMAL
SCH-10116,"Govt High School, Hoskote Block-9",13.258362,77.376954,urban,376,35,185,191,0.445,0.86,0.598,1.438,False,20,18.8,Accessible,0.238,CRITICAL
SCH-10117,"Model Govt School, Nelamangala Block-8",12.86371,77.50719,rural,778,70,362,416,0.575,0.825,0.747,1.105,False,30,30.0,Accessible,0.28,CRITICAL
SCH-10118,"Govt Primary School, Doddaballapur Block-5",13.032297,77.437157,urban,303,27,139,164,0.596,0.608,0.891,0.682,True,11,42.3,Accessible,0.381,NORMAL
SCH-10119,"Model Govt School, Nelamangala Block-3",13.087003,77.527651,urban,300,29,143,157,0.657,0.577,0.72,0.801,True,10,21.2,Accessible,0.312,NORMAL
SCH-10120,"Govt Primary School, Magadi Block-5",12.938585,77.552979,rural,482,41,263,219,0.302,0.795,0.483,1.648,False,29,15.5,Accessible,0.294,CRITICAL
SCH-10121,"Govt High School, Magadi Block-4",13.087773,77.56721,urban,758,62,386,372,0.343,0.531,0.691,0.768,True,41,12.7,Accessible,0.477,CRITICAL
SCH-10122,"Model Govt School, Devanahalli Block-8",13.281774,77.585493,urban,327,28,153,174,0.457,0.788,0.69,1.143,False,16,19.6,Accessible,0.222,NORMAL
SCH-10123,"Zilla Parishad School, Hoskote Block-2",13.276981,77.52566,urban,246,21,116,130,0.891,0.83,0.909,0.912,False,3,17.3,Accessible,0.077,NORMAL
SCH-10124,"Zilla Parishad School, Ramanagara Block-3",13.188411,77.681388,urban,426,34,193,233,0.95,0.731,0.906,0.807,True,2,5.4,Accessible,0.181,NORMAL
SCH-10125,"Model Govt School, Ramanagara Block-7",13.124565,77.602836,urban,784,73,353,431,0.606,0.62,0.817,0.759,True,29,10.5,Accessible,0.371,CRITICAL
SCH-10126,"Govt High School, Magadi Block-5",13.303056,77.478598,urban,664,64,335,329,0.897,0.737,0.782,0.942,False,7,16.2,Accessible,0.089,NORMAL
SCH-10127,"Govt High School, Devanahalli Block-7",13.251979,77.571,urban,359,29,189,170,0.945,0.659,0.738,0.893,True,2,13.9,Accessible,0.204,NORMAL
SCH-10128,"Govt Primary School, Devanahalli Block-7",13.141633,77.536787,urban,489,41,256,233,0.722,0.547,0.819,0.668,True,12,17.0,Accessible,0.296,NORMAL
SCH-10129,"Model Govt School, Doddaballapur Block-3",13.096907,77.50506,urban,731,68,339,392,0.827,0.87,0.702,1.239,False,12,26.3,Accessible,0.148,NORMAL
SCH-10130,"Model Govt School, Ramanagara Block-5",13.034907,77.370942,rural,112,9,59,53,0.527,0.555,0.623,0.891,True,5,48.0,Accessible,0.385,NORMAL
SCH-10131,"Govt Primary School, Magadi Block-6",13.191097,77.537262,urban,164,16,78,86,0.71,0.856,0.86,0.996,False,5,12.3,Accessible,0.109,NORMAL
SCH-10132,"Model Govt School, Nelamangala Block-9",12.983338,77.639943,urban,508,50,254,254,0.418,0.77,0.711,1.084,False,30,11.2,Accessible,0.265,CRITICAL
SCH-10133,"Govt Primary School, Doddaballapur Block-2",13.236571,77.557184,urban,737,67,373,364,0.512,0.806,0.755,1.068,False,33,12.4,Accessible,0.261,CRITICAL
SCH-10134,"Model Govt School, Magadi Block-1",13.092039,77.648978,urban,570,53,289,281,0.827,0.562,0.783,0.718,True,10,5.5,Accessible,0.238,NORMAL
SCH-10135,"Govt High School, Nelamangala Block-6",13.022596,77.716994,urban,315,29,158,157,0.805,0.552,0.896,0.616,True,6,23.9,Accessible,0.273,NORMAL
SCH-10136,"Model Govt School, Hoskote Block-8",12.987352,77.672786,urban,309,28,144,165,0.97,0.663,0.316,2.0,False,1,15.6,Accessible,0.049,NORMAL
SCH-10137,"Govt Primary School, Doddaballapur Block-8",13.205861,77.742457,urban,431,36,212,219,0.636,0.853,0.652,1.308,False,14,8.4,Accessible,0.15,NORMAL
SCH-10138,"Zilla Parishad School, Ramanagara Block-5",13.236545,77.474,urban,705,65,364,341,0.905,0.813,0.842,0.965,False,7,3.2,Accessible,0.055,NORMAL
SCH-10139,"Govt Primary School, Magadi Block-5",12.972904,77.511106,rural,752,60,406,346,0.546,0.527,0.521,1.011,False,28,26.0,Accessible,0.268,CRITICAL
SCH-10140,"Zilla Parishad School, Hoskote Block-7",13.029289,77.612652,urban,213,20,114,99,0.685,0.879,0.539,1.631,False,7,12.2,Accessible,0.121,NORMAL
SCH-10141,"Zilla Parishad School, Nelamangala Block-4",13.297047,77.728583,urban,651,57,342,309,0.532,0.681,0.835,0.815,True,27,23.1,Accessible,0.409,CRITICAL
SCH-10142,"Govt High School, Nelamangala Block-4",13.196809,77.658449,urban,103,8,55,48,0.457,0.831,0.662,1.254,False,5,10.1,Accessible,0.154,NORMAL
SCH-10143,"Model Govt School, Devanahalli Block-7",12.965208,77.35059,rural,137,12,70,67,0.753,0.474,0.567,0.836,True,3,59.7,Moderate Access,0.361,NORMAL
SCH-10144,"Zilla Parishad School, Doddaballapur Block-8",13.122248,77.633728,urban,542,46,271,271,0.938,0.676,0.663,1.02,False,3,9.0,Accessible,0.047,NORMAL
SCH-10145,"Zilla Parishad School, Devanahalli Block-1",12.940098,77.389294,rural,297,29,154,143,0.624,0.725,0.564,1.287,False,11,51.0,Moderate Access,0.247,NORMAL
SCH-10146,"Model Govt School, Ramanagara Block-8",13.040259,77.415214,rural,643,56,347,296,0.683,0.738,0.573,1.288,False,18,43.9,Accessible,0.245,NORMAL
SCH-10147,"Zilla Parishad School, Doddaballapur Block-4",12.939628,77.670001,rural,582,57,275,307,0.612,0.741,0.677,1.094,False,23,9.9,Accessible,0.194,CRITICAL
SCH-10148,"Govt High School, Magadi Block-1",13.18701,77.370734,urban,212,17,103,109,0.887,0.621,0.807,0.769,True,2,21.8,Accessible,0.235,NORMAL
SCH-10149,"Model Govt School, Devanahalli Block-1",13.170867,77.618592,urban,690,56,364,326,0.587,0.774,0.764,1.013,False,24,7.4,Accessible,0.197,CRITICAL
SCH-10150,"Zilla Parishad School, Doddaballapur Block-5",13.023262,77.509045,urban,486,40,242,244,0.813,0.632,0.728,0.869,True,8,28.5,Accessible,0.291,NORMAL
SCH-10151,"Govt Primary School, Devanahalli Block-4",12.857555,77.736006,rural,382,35,198,184,0.331,0.572,0.323,1.77,False,24,29.7,Accessible,0.304,CRITICAL
SCH-10152,"Govt High School, Doddaballapur Block-4",13.319826,77.438193,urban,172,16,80,92,0.671,0.631,0.751,0.84,True,6,19.9,Accessible,0.29,NORMAL
SCH-10153,"Govt High School, Ramanagara Block-3",12.952012,77.611598,rural,250,20,135,115,0.652,0.512,0.555,0.922,False,7,4.7,Accessible,0.109,NORMAL
SCH-10154,"Model Govt School, Hoskote Block-5",13.09675,77.463322,urban,603,50,308,295,0.687,0.817,0.877,0.932,False,16,30.3,Accessible,0.202,NORMAL
SCH-10155,"Model Govt School, Magadi Block-1",13.05567,77.699489,urban,222,20,109,113,0.924,0.541,0.957,0.565,True,2,17.1,Accessible,0.216,NORMAL
SCH-10156,"Zilla Parishad School, Doddaballapur Block-4",13.23222,77.513868,urban,220,18,102,118,0.901,0.609,0.94,0.648,True,2,11.7,Accessible,0.207,NORMAL
SCH-10157,"Zilla Parishad School, Ramanagara Block-9",13.286318,77.681247,urban,643,61,339,304,0.344,0.824,0.831,0.991,False,41,20.7,Accessible,0.347,CRITICAL
SCH-10158,"Govt High School, Doddaballapur Block-3",12.930183,77.619458,rural,752,71,367,385,0.203,0.679,0.514,1.323,False,57,1.6,Accessible,0.391,CRITICAL
