date,state,district,pincode,age_0_5,age_5_17,age_18_greater,clean_0_5,clean_5_17,clean_18_plus,mbu_due_5,mbu_due_15,total_pending_mbu,demand_score
01-09-2025,Bihar,Jehanabad,804425,0,10,0,0,10,0,0.0,1.0,1.0,0.41
01-09-2025,Bihar,Jehanabad,804432,2,7,0,2,7,0,0.0,1.0,1.0,0.37
01-09-2025,Bihar,Jehanabad,804433,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Kaimur (Bhabua),821105,3,12,0,3,12,0,0.0,1.0,1.0,0.59
01-09-2025,Bihar,Kaimur (Bhabua),821108,4,6,0,4,6,0,1.0,1.0,2.0,0.44
01-09-2025,Bihar,Kaimur (Bhabua),821109,6,10,0,6,10,0,1.0,1.0,2.0,0.67
01-09-2025,Bihar,Kaimur (Bhabua),821110,0,5,0,0,5,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Katihar,854106,3,2,0,3,2,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Katihar,854117,6,3,0,6,3,0,1.0,0.0,1.0,0.37
01-09-2025,Bihar,Katihar,855105,8,5,0,8,5,0,1.0,0.0,1.0,0.52
01-09-2025,Bihar,Khagaria,851202,0,4,1,0,4,1,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Khagaria,851216,2,7,0,2,7,0,0.0,1.0,1.0,0.37
01-09-2025,Bihar,Khagaria,853203,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Kishanganj,855101,31,10,0,31,10,0,5.0,1.0,6.0,1.74
01-09-2025,Bihar,Madhepura,852108,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Madhepura,852116,2,8,0,2,8,0,0.0,1.0,1.0,0.41
01-09-2025,Bihar,Madhepura,852128,8,16,1,8,16,1,1.0,2.0,3.0,1.03
01-09-2025,Bihar,Madhubani,847223,6,12,0,6,12,0,1.0,1.0,2.0,0.74
01-09-2025,Bihar,Madhubani,847238,0,2,0,0,2,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Madhubani,847421,3,3,1,3,3,1,0.0,0.0,0.0,0.26
01-09-2025,Bihar,Munger,811202,9,9,0,9,9,0,1.0,1.0,2.0,0.74
01-09-2025,Bihar,Munger,813201,3,1,1,3,1,1,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Muzaffarpur,843105,0,4,0,0,4,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Muzaffarpur,843106,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Muzaffarpur,843112,0,5,0,0,5,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Muzaffarpur,843115,7,8,0,7,8,0,1.0,1.0,2.0,0.63
01-09-2025,Bihar,Muzaffarpur,843128,3,3,0,3,3,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Muzaffarpur,843312,5,7,0,5,7,0,1.0,1.0,2.0,0.52
01-09-2025,Bihar,Muzaffarpur,843360,5,0,0,5,0,0,1.0,0.0,1.0,0.22
01-09-2025,Bihar,Muzaffarpur,844120,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Nalanda,803101,9,22,0,9,22,0,1.0,2.0,3.0,1.26
01-09-2025,Bihar,Nalanda,803113,0,3,0,0,3,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Nalanda,803114,2,12,0,2,12,0,0.0,1.0,1.0,0.55
01-09-2025,Bihar,Nalanda,803116,0,5,0,0,5,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Nalanda,803213,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Nalanda,805130,2,0,0,2,0,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Nawada,805101,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Nawada,805106,1,11,0,1,11,0,0.0,1.0,1.0,0.48
01-09-2025,Bihar,Nawada,805141,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Patna,800001,1,10,0,1,10,0,0.0,1.0,1.0,0.44
01-09-2025,Bihar,Patna,800009,2,5,0,2,5,0,0.0,0.0,0.0,0.26
01-09-2025,Bihar,Patna,800013,1,0,0,1,0,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Patna,800023,0,2,0,0,2,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Patna,800111,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Patna,803212,8,16,0,8,16,0,1.0,2.0,3.0,1.0
01-09-2025,Bihar,Purnia,854202,4,5,0,4,5,0,1.0,0.0,1.0,0.37
01-09-2025,Bihar,Purnia,854304,12,10,0,12,10,0,2.0,1.0,3.0,0.92
01-09-2025,Bihar,Purnia,854315,36,18,0,36,18,0,5.0,2.0,7.0,2.25
01-09-2025,Bihar,Purnia,854325,3,1,0,3,1,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Rohtas,802211,1,4,0,1,4,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Rohtas,821113,4,11,0,4,11,0,1.0,1.0,2.0,0.63
01-09-2025,Bihar,Saharsa,852130,2,1,0,2,1,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Saharsa,852202,3,6,1,3,6,1,0.0,1.0,1.0,0.41
01-09-2025,Bihar,Saharsa,852221,3,15,0,3,15,0,0.0,2.0,2.0,0.74
01-09-2025,Bihar,Samastipur,848118,1,0,0,1,0,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Samastipur,848122,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Samastipur,848206,1,2,0,1,2,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Samastipur,848211,7,5,0,7,5,0,1.0,0.0,1.0,0.48
01-09-2025,Bihar,Samastipur,848301,2,3,0,2,3,0,0.0,0.0,0.0,0.18
01-09-2025,Bihar,Samastipur,848506,5,5,0,5,5,0,1.0,0.0,1.0,0.41
01-09-2025,Bihar,Saran,841101,5,17,0,5,17,0,1.0,2.0,3.0,0.92
01-09-2025,Bihar,Saran,841201,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Saran,841207,4,10,0,4,10,0,1.0,1.0,2.0,0.59
01-09-2025,Bihar,Saran,841208,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Saran,841211,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Saran,841214,1,2,0,1,2,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Saran,841216,3,1,0,3,1,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Saran,841218,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Saran,841247,1,0,0,1,0,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,Saran,841313,2,4,0,2,4,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Saran,841424,4,12,0,4,12,0,1.0,1.0,2.0,0.67
01-09-2025,Bihar,Saran,841460,6,3,0,6,3,0,1.0,0.0,1.0,0.37
01-09-2025,Bihar,Sheohar,843128,3,1,0,3,1,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Sitamarhi,843117,5,2,0,5,2,0,1.0,0.0,1.0,0.3
01-09-2025,Bihar,Sitamarhi,843302,18,17,0,18,17,0,3.0,2.0,5.0,1.48
01-09-2025,Bihar,Sitamarhi,843316,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Sitamarhi,843323,3,5,0,3,5,0,0.0,0.0,0.0,0.3
01-09-2025,Bihar,Sitamarhi,843331,5,8,0,5,8,0,1.0,1.0,2.0,0.55
01-09-2025,Bihar,Sitamarhi,843332,2,4,0,2,4,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Sitamarhi,843333,16,3,0,16,3,0,2.0,0.0,2.0,0.78
01-09-2025,Bihar,Siwan,841203,2,4,0,2,4,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Siwan,841210,1,5,0,1,5,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Siwan,841232,3,4,0,3,4,0,0.0,0.0,0.0,0.26
01-09-2025,Bihar,Siwan,841233,4,8,1,4,8,1,1.0,1.0,2.0,0.55
01-09-2025,Bihar,Siwan,841408,0,3,0,0,3,0,0.0,0.0,0.0,0.11
01-09-2025,Bihar,Siwan,841416,1,1,0,1,1,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Siwan,841436,1,5,0,1,5,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Supaul,852108,1,3,0,1,3,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Supaul,852109,3,8,0,3,8,0,0.0,1.0,1.0,0.44
01-09-2025,Bihar,Supaul,852123,3,5,0,3,5,0,0.0,0.0,0.0,0.3
01-09-2025,Bihar,Vaishali,844112,0,6,0,0,6,0,0.0,1.0,1.0,0.26
01-09-2025,Bihar,Vaishali,844114,6,15,0,6,15,0,1.0,2.0,3.0,0.89
01-09-2025,Bihar,Vaishali,844115,0,4,0,0,4,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Vaishali,844118,2,5,0,2,5,0,0.0,0.0,0.0,0.26
01-09-2025,Bihar,Vaishali,844119,2,2,0,2,2,0,0.0,0.0,0.0,0.15
01-09-2025,Bihar,Vaishali,844120,2,0,0,2,0,0,0.0,0.0,0.0,0.07
01-09-2025,Bihar,Vaishali,844121,2,4,0,2,4,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Vaishali,844125,3,8,0,3,8,0,0.0,1.0,1.0,0.44
01-09-2025,Bihar,Vaishali,844126,2,4,0,2,4,0,0.0,0.0,0.0,0.22
01-09-2025,Bihar,Vaishali,844503,7,5,0,7,5,0,1.0,0.0,1.0,0.48
01-09-2025,Bihar,West Champaran,845102,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,West Champaran,845106,10,19,0,10,19,0,2.0,2.0,4.0,1.22
01-09-2025,Bihar,West Champaran,845107,0,1,0,0,1,0,0.0,0.0,0.0,0.04
01-09-2025,Bihar,West Champaran,845450,3,16,1,3,16,1,0.0,2.0,2.0,0.81
01-04-2025,Bihar,Sitamarhi,843313,98,76,13,98,76,13,15.0,8.0,23.0,7.76
01-04-2025,Bihar,Sitamarhi,843315,102,125,18,102,125,18,15.0,12.0,27.0,10.05
01-04-2025,Bihar,Muzaffarpur,844127,208,125,12,208,125,12,31.0,12.0,43.0,14.34
01-04-2025,Bihar,Munger,811213,191,278,22,191,278,22,29.0,28.0,57.0,20.25
01-04-2025,Bihar,Bhagalpur,853204,349,238,10,349,238,10,52.0,24.0,76.0,24.87
01-04-2025,Bihar,Gaya,824231,85,200,16,85,200,16,13.0,20.0,33.0,12.34
01-04-2025,Bihar,Patna,801505,60,212,10,60,212,10,9.0,21.0,30.0,11.53
01-04-2025,Bihar,Muzaffarpur,843103,388,182,12,388,182,12,58.0,18.0,76.0,24.32
01-05-2025,Bihar,West Champaran,845106,260,257,14,260,257,14,39.0,26.0,65.0,22.03
01-05-2025,Bihar,Bhagalpur,853201,137,95,14,137,95,14,21.0,10.0,31.0,10.24
01-05-2025,Bihar,West Champaran,845438,474,701,27,474,701,27,71.0,70.0,141.0,49.63
01-05-2025,Bihar,East Champaran,845301,152,309,17,152,309,17,23.0,31.0,54.0,19.66
01-05-2025,Bihar,West Champaran,845307,173,253,29,173,253,29,26.0,25.0,51.0,18.7
01-06-2025,Bihar,Patna,801109,116,239,10,116,239,10,17.0,24.0,41.0,15.0
01-06-2025,Bihar,Sitamarhi,843320,237,179,11,237,179,11,36.0,18.0,54.0,17.78
01-06-2025,Bihar,Muzaffarpur,842002,175,214,23,175,214,23,26.0,21.0,47.0,16.96
01-06-2025,Bihar,Lakhisarai,811311,298,478,10,298,478,10,45.0,48.0,93.0,32.48
01-06-2025,Bihar,Sitamarhi,843317,162,351,55,162,351,55,24.0,35.0,59.0,23.17
01-06-2025,Bihar,Bhagalpur,812005,236,306,31,236,306,31,35.0,31.0,66.0,23.61
01-06-2025,Bihar,Banka,813108,83,218,11,83,218,11,12.0,22.0,34.0,12.79
01-06-2025,Bihar,Muzaffarpur,843115,158,196,10,158,196,10,24.0,20.0,44.0,15.08
01-06-2025,Bihar,Muzaffarpur,843109,200,260,11,200,260,11,30.0,26.0,56.0,19.48
01-06-2025,Bihar,Pashchim Champaran,845450,88,262,10,88,262,10,13.0,26.0,39.0,14.75
01-06-2025,Bihar,Purbi Champaran,845305,194,416,93,194,416,93,29.0,42.0,71.0,28.6
01-06-2025,Bihar,Pashchim Champaran,845106,197,333,13,197,333,13,30.0,33.0,63.0,22.39
01-06-2025,Bihar,Sitamarhi,843315,105,172,14,105,172,14,16.0,17.0,33.0,11.97
01-06-2025,Bihar,Purnia,854326,209,169,14,209,169,14,31.0,17.0,48.0,16.26
01-06-2025,Bihar,Banka,813101,314,324,25,314,324,25,47.0,32.0,79.0,27.42
01-06-2025,Bihar,Nalanda,803101,221,810,16,221,810,16,33.0,81.0,114.0,42.9
01-06-2025,Bihar,Muzaffarpur,842004,64,96,10,64,96,10,10.0,10.0,20.0,7.02
01-06-2025,Bihar,Katihar,854108,197,117,10,197,117,10,30.0,12.0,42.0,13.53
01-06-2025,Bihar,Siwan,841239,137,252,11,137,252,11,21.0,25.0,46.0,16.48
01-06-2025,Bihar,Muzaffarpur,843113,190,240,14,190,240,14,28.0,24.0,52.0,18.33
01-06-2025,Bihar,Kaimur (Bhabua),821109,165,536,10,165,536,10,25.0,54.0,79.0,29.19
01-06-2025,Bihar,Muzaffarpur,843119,287,244,13,287,244,13,43.0,24.0,67.0,22.58
01-06-2025,Bihar,Munger,811213,117,279,10,117,279,10,18.0,28.0,46.0,16.7
01-06-2025,Bihar,Saran,841424,108,453,11,108,453,11,16.0,45.0,61.0,23.39
01-06-2025,Bihar,Patna,804453,102,404,10,102,404,10,15.0,40.0,55.0,21.1
01-06-2025,Bihar,Araria,854328,25,50,10,25,50,10,4.0,5.0,9.0,3.47
01-06-2025,Bihar,Madhubani,847108,182,395,68,182,395,68,27.0,40.0,67.0,26.31
01-06-2025,Bihar,Purbi Champaran,845301,167,394,34,167,394,34,25.0,39.0,64.0,24.35
01-07-2025,Bihar,Purbi Champaran,845440,84,161,25,84,161,25,13.0,16.0,29.0,11.05
01-07-2025,Bihar,Purnia,854301,273,244,11,273,244,11,41.0,24.0,65.0,21.91
01-07-2025,Bihar,Patna,801110,154,428,31,154,428,31,23.0,43.0,66.0,25.09
01-07-2025,Bihar,Pashchim Champaran,845451,202,354,30,202,354,30,30.0,35.0,65.0,24.06
01-07-2025,Bihar,Saharsa,852106,310,300,24,310,300,24,46.0,30.0,76.0,26.24
01-07-2025,Bihar,Pashchim Champaran,845306,189,436,33,189,436,33,28.0,44.0,72.0,26.98
01-07-2025,Bihar,Gopalganj,841438,336,724,10,336,724,10,50.0,72.0,122.0,44.05
01-07-2025,Bihar,Sitamarhi,843327,366,476,24,366,476,24,55.0,48.0,103.0,35.81
01-07-2025,Bihar,Nawada,805129,70,255,21,70,255,21,10.0,26.0,36.0,14.12
01-07-2025,Bihar,Siwan,841406,192,414,12,192,414,12,29.0,41.0,70.0,25.42
01-07-2025,Bihar,Pashchim Champaran,845438,608,1229,34,608,1229,34,91.0,123.0,214.0,77.05
01-07-2025,Bihar,Sitamarhi,843330,90,242,263,90,242,263,14.0,24.0,38.0,23.39
01-07-2025,Bihar,Sitamarhi,843331,406,388,33,406,388,33,61.0,39.0,100.0,34.26
01-07-2025,Bihar,Purbi Champaran,845304,185,292,26,185,292,26,28.0,29.0,57.0,20.69
01-07-2025,Bihar,Sitamarhi,843319,179,125,10,179,125,10,27.0,12.0,39.0,13.05
01-07-2025,Bihar,Nalanda,805130,156,650,25,156,650,25,23.0,65.0,88.0,33.96
20-03-2025,Bihar,Sitamarhi,843324,41,55,30,41,55,30,6.0,6.0,12.0,5.1
01-04-2025,Bihar,Kaimur (Bhabua),821106,146,199,12,146,199,12,22.0,20.0,42.0,14.75
01-04-2025,Bihar,West Champaran,845453,271,300,20,271,300,20,41.0,30.0,71.0,24.46
01-04-2025,Bihar,Patna,800002,39,199,19,39,199,19,6.0,20.0,26.0,10.46
03-09-2025,Bihar,Araria,854102,1,1,0,1,1,0,0.0,0.0,0.0,0.07
03-09-2025,Bihar,Araria,854311,14,9,0,14,9,0,2.0,1.0,3.0,0.96
03-09-2025,Bihar,Araria,854318,18,14,0,18,14,0,3.0,1.0,4.0,1.33
03-09-2025,Bihar,Araria,854329,16,5,0,16,5,0,2.0,0.0,2.0,0.85
03-09-2025,Bihar,Araria,854331,1,2,0,1,2,0,0.0,0.0,0.0,0.11
03-09-2025,Bihar,Araria,854332,1,0,0,1,0,0,0.0,0.0,0.0,0.04
03-09-2025,Bihar,Aurangabad,824101,2,8,0,2,8,0,0.0,1.0,1.0,0.41
03-09-2025,Bihar,Aurangabad,824114,0,3,0,0,3,0,0.0,0.0,0.0,0.11
03-09-2025,Bihar,Aurangabad,824121,0,4,0,0,4,0,0.0,0.0,0.0,0.15
03-09-2025,Bihar,Aurangabad,824125,1,3,0,1,3,0,0.0,0.0,0.0,0.15
03-09-2025,Bihar,Aurangabad,824143,2,4,0,2,4,0,0.0,0.0,0.0,0.22
03-09-2025,Bihar,Aurangabad,824203,4,12,0,4,12,0,1.0,1.0,2.0,0.67
03-09-2025,Bihar,Aurangabad(bh),824124,1,1,0,1,1,0,0.0,0.0,0.0,0.07
03-09-2025,Bihar,Begusarai,848202,7,6,0,7,6,0,1.0,1.0,2.0,0.55
03-09-2025,Bihar,Begusarai,848204,8,2,0,8,2,0,1.0,0.0,1.0,0.41
03-09-2025,Bihar,Begusarai,851204,1,2,0,1,2,0,0.0,0.0,0.0,0.11
03-09-2025,Bihar,Begusarai,851210,1,2,0,1,2,0,0.0,0.0,0.0,0.11
03-09-2025,Bihar,Bhagalpur,812004,6,1,0,6,1,0,1.0,0.0,1.0,0.3
03-09-2025,Bihar,Bhagalpur,813205,5,9,0,5,9,0,1.0,1.0,2.0,0.59
03-09-2025,Bihar,Bhagalpur,813213,6,4,0,6,4,0,1.0,0.0,1.0,0.41
03-09-2025,Bihar,Bhagalpur,813222,5,4,0,5,4,0,1.0,0.0,1.0,0.37
03-09-2025,Bihar,Bhagalpur,853202,5,9,0,5,9,0,1.0,1.0,2.0,0.59
03-09-2025,Bihar,Bhojpur,802152,0,6,0,0,6,0,0.0,1.0,1.0,0.26
03-09-2025,Bihar,Bhojpur,802155,0,4,0,0,4,0,0.0,0.0,0.0,0.15
03-09-2025,Bihar,Bhojpur,802160,0,1,0,0,1,0,0.0,0.0,0.0,0.04
03-09-2025,Bihar,Bhojpur,802162,0,5,0,0,5,0,0.0,0.0,0.0,0.18
03-09-2025,Bihar,Bhojpur,802201,1,3,0,1,3,0,0.0,0.0,0.0,0.15
03-09-2025,Bihar,Bhojpur,802301,4,9,0,4,9,0,1.0,1.0,2.0,0.55
03-09-2025,Bihar,Bhojpur,802315,0,1,0,0,1,0,0.0,0.0,0.0,0.04
03-09-2025,Bihar,Bhojpur,802316,1,0,0,1,0,0,0.0,0.0,0.0,0.04
03-09-2025,Bihar,Bhojpur,802351,0,2,0,0,2,0,0.0,0.0,0.0,0.07
03-09-2025,Bihar,Buxar,802128,1,2,0,1,2,0,0.0,0.0,0.0,0.11
03-09-2025,Bihar,Buxar,802129,0,11,0,0,11,0,0.0,1.0,1.0,0.44
03-09-2025,Bihar,Buxar,802135,0,1,0,0,1,0,0.0,0.0,0.0,0.04
03-09-2025,Bihar,Darbhanga,846006,2,1,0,2,1,0,0.0,0.0,0.0,0.11
03-09-2025,Bihar,Darbhanga,847106,9,3,0,9,3,0,1.0,0.0,1.0,0.48
03-09-2025,Bihar,Darbhanga,847303,5,3,0,5,3,0,1.0,0.0,1.0,0.33
03-09-2025,Bihar,Darbhanga,847304,5,4,0,5,4,0,1.0,0.0,1.0,0.37
03-09-2025,Bihar,Darbhanga,847405,7,2,0,7,2,0,1.0,0.0,1.0,0.37
03-09-2025,Bihar,Darbhanga,847427,22,4,0,22,4,0,3.0,0.0,3.0,1.07
03-09-2025,Bihar,Darbhanga,848207,0,5,0,0,5,0,0.0,0.0,0.0,0.18
03-09-2025,Bihar,East Champaran,845305,9,15,0,9,15,0,1.0,2.0,3.0,1.0
03-09-2025,Bihar,East Champaran,845406,9,4,0,9,4,0,1.0,0.0,1.0,0.52
03-09-2025,Bihar,East Champaran,845413,5,3,0,5,3,0,1.0,0.0,1.0,0.33
03-09-2025,Bihar,East Champaran,845416,3,8,0,3,8,0,0.0,1.0,1.0,0.44
